customer_id,customer_name,gender,age_group,city,region_id,customer_segment,registration_date
CUS00081,Iman Hartono,Female,35-44,Malang,REG005,Regular,2021-09-12
CUS00082,Nadia Susanto,Male,45-54,Gianyar,REG008,Loyal,2021-04-25
CUS00083,Budi Purnama,Male,18-24,Yogyakarta,REG004,New,2024-02-13
CUS00084,Tono Susanto,Female,35-44,Cimahi,REG003,New,2022-02-18
CUS00085,Omar Kusuma,Male,35-44,Jakarta Utara,REG002,New,2023-11-14
CUS00086,Omar Utama,Male,18-24,Pasuruan,REG005,New,2022-02-26
CUS00087,Lestari Suharto,Male,55+,Bekasi,REG003,New,2024-02-02
CUS00088,Hana Hidayat,Male,25-34,Cimahi,REG003,Regular,2020-04-22
CUS00089,Fitri Utama,Male,45-54,Bogor,REG003,Loyal,2021-05-22
CUS00090,Vina Hidayat,Male,18-24,Palopo,REG007,Regular,2022-07-27
CUS00091,Iman Setiawan,Male,25-34,Bontang,REG006,Regular,2021-12-27
CUS00092,Ahmad Santoso,Female,18-24,Tabanan,REG008,Regular,2022-10-15
CUS00093,Nadia Suharto,Female,18-24,Bontang,REG006,New,2023-03-11
CUS00094,Iman Setiawan,Male,18-24,Pematangsiantar,REG001,New,2024-07-12
CUS00095,Joko Rahayu,Female,35-44,Jakarta Selatan,REG002,Loyal,2022-02-09
CUS00096,Omar Saputra,Female,25-34,Jakarta Timur,REG002,New,2021-11-01
CUS00097,Zahra Rahayu,Female,45-54,Salatiga,REG004,New,2024-04-23
CUS00098,Hana Hidayat,Female,18-24,Pematangsiantar,REG001,Loyal,2020-11-04
CUS00099,Rizky Utama,Male,55+,Depok,REG003,New,2024-03-05
CUS00100,Fitri Saputra,Male,25-34,Binjai,REG001,New,2022-07-11
CUS00101,Dewi Santoso,Female,45-54,Jakarta Barat,REG002,New,2024-10-25
CUS00102,Putri Hartono,Male,25-34,Parepare,REG007,New,2023-05-15
CUS00103,Putri Wibowo,Female,35-44,Pasuruan,REG005,Loyal,2022-12-28
CUS00104,Yuni Susanto,Female,55+,Tabanan,REG008,Loyal,2021-10-04
CUS00105,Putri Nugroho,Female,35-44,Cimahi,REG003,Regular,2020-02-05
CUS00106,Gunawan Nugroho,Female,35-44,Blitar,REG005,Loyal,2023-11-25
CUS00107,Ahmad Nugroho,Male,45-54,Solo,REG004,Regular,2020-06-03
CUS00108,Eko Nugroho,Male,55+,Solo,REG004,Regular,2020-04-23
CUS00109,Sari Hartono,Female,25-34,Makassar,REG007,New,2024-11-06
CUS00110,Putri Saputra,Female,18-24,Badung,REG008,Regular,2020-01-06
CUS00111,Tono Prasetyo,Female,18-24,Makassar,REG007,New,2023-05-04
CUS00112,Dewi Prasetyo,Female,18-24,Binjai,REG001,Loyal,2022-11-25
CUS00113,Rizky Wibowo,Male,18-24,Pematangsiantar,REG001,Regular,2022-07-01
CUS00114,Siti Saputra,Female,18-24,Depok,REG003,New,2021-10-04
CUS00115,Udin Santoso,Female,35-44,Depok,REG003,Loyal,2022-10-03
CUS00116,Siti Purnama,Female,35-44,Bekasi,REG003,Loyal,2020-02-14
CUS00117,Eko Kusuma,Male,25-34,Jakarta Barat,REG002,Regular,2020-05-17
CUS00118,Budi Wibowo,Female,55+,Blitar,REG005,New,2020-04-15
CUS00119,Fitri Saputra,Female,55+,Salatiga,REG004,Regular,2021-12-15
CUS00120,Siti Santoso,Male,25-34,Malang,REG005,New,2024-02-23
CUS00121,Rizky Kusuma,Female,35-44,Jakarta Selatan,REG002,New,2024-02-16
CUS00122,Lestari Hartono,Male,55+,Binjai,REG001,Regular,2024-05-01
CUS00123,Siti Handoko,Female,35-44,Cimahi,REG003,New,2022-02-26
CUS00124,Vina Hidayat,Male,18-24,Samarinda,REG006,Regular,2024-11-15
CUS00125,Vina Hartono,Female,45-54,Badung,REG008,New,2020-07-30
CUS00126,Iman Setiawan,Female,55+,Yogyakarta,REG004,Regular,2024-07-06
CUS00127,Wahyu Wibowo,Male,18-24,Medan,REG001,Loyal,2023-04-18
CUS00128,Nadia Setiawan,Female,35-44,Gianyar,REG008,Regular,2023-09-01
CUS00129,Putri Hidayat,Male,45-54,Balikpapan,REG006,Loyal,2024-04-22
CUS00130,Iman Saputra,Male,35-44,Bogor,REG003,Regular,2023-09-14
CUS00131,Kartini Wibowo,Male,35-44,Kutai Kartanegara,REG006,Loyal,2020-02-23
CUS00132,Fitri Setiawan,Male,25-34,Jakarta Selatan,REG002,Loyal,2022-03-05
CUS00133,Joko Handoko,Male,45-54,Solo,REG004,New,2023-04-22
CUS00134,Rizky Purnama,Female,25-34,Pasuruan,REG005,Regular,2020-10-27
CUS00135,Gunawan Handoko,Male,18-24,Cimahi,REG003,Regular,2020-11-29
CUS00136,Sari Wijaya,Female,25-34,Tabanan,REG008,New,2022-12-28
CUS00137,Putri Suharto,Female,35-44,Jakarta Barat,REG002,New,2023-01-17
CUS00138,Hana Susanto,Male,25-34,Palopo,REG007,New,2021-05-31
CUS00139,Made Hidayat,Male,18-24,Pematangsiantar,REG001,New,2024-07-06
CUS00140,Putri Hidayat,Male,18-24,Pasuruan,REG005,New,2022-03-16
CUS00141,Nadia Santoso,Male,25-34,Medan,REG001,Regular,2021-08-15
CUS00142,Yuni Saputra,Male,25-34,Jakarta Timur,REG002,Loyal,2024-03-28
CUS00143,Xenia Purnama,Male,35-44,Bontang,REG006,New,2021-02-02
CUS00144,Joko Rahayu,Male,18-24,Jakarta Selatan,REG002,New,2022-02-22
CUS00145,Udin Prasetyo,Male,45-54,Blitar,REG005,Loyal,2024-07-07
CUS00146,Omar Purnama,Male,35-44,Bontang,REG006,Loyal,2020-05-05
CUS00147,Gunawan Setiawan,Female,18-24,Jakarta Utara,REG002,Loyal,2024-03-05
CUS00148,Joko Setiawan,Female,45-54,Jakarta Barat,REG002,New,2023-02-16
CUS00149,Nadia Handoko,Male,18-24,Denpasar,REG008,Loyal,2022-10-06
CUS00150,Lestari Setiawan,Female,25-34,Denpasar,REG008,New,2023-07-10
CUS00151,Siti Setiawan,Male,45-54,Badung,REG008,New,2022-05-29
CUS00152,Joko Santoso,Male,18-24,Palopo,REG007,Regular,2024-04-11
CUS00153,Hana Kusuma,Female,45-54,Badung,REG008,Regular,2023-11-02
CUS00154,Eko Hidayat,Male,55+,Palopo,REG007,New,2023-06-24
CUS00155,Omar Santoso,Female,35-44,Pematangsiantar,REG001,Loyal,2022-10-24
CUS00156,Fitri Wibowo,Male,45-54,Yogyakarta,REG004,New,2023-02-09
CUS00157,Tono Santoso,Female,55+,Makassar,REG007,New,2024-04-22
CUS00158,Vina Setiawan,Male,35-44,Gowa,REG007,Regular,2020-02-27
CUS00159,Zahra Nugroho,Male,25-34,Blitar,REG005,Loyal,2020-11-21
CUS00160,Omar Santoso,Female,55+,Bontang,REG006,New,2024-03-26
CUS00161,Made Saputra,Male,35-44,Gowa,REG007,Loyal,2021-05-19
CUS00162,Udin Santoso,Male,55+,Bontang,REG006,Regular,2022-10-01
CUS00163,Sari Purnama,Female,25-34,Binjai,REG001,New,2021-11-04
CUS00164,Dewi Nugroho,Male,35-44,Jakarta Utara,REG002,Regular,2024-10-19
CUS00165,Fitri Santoso,Male,25-34,Kutai Kartanegara,REG006,Regular,2021-04-28
CUS00166,Vina Handoko,Female,35-44,Bogor,REG003,Regular,2022-11-29
CUS00167,Hana Rahayu,Female,45-54,Denpasar,REG008,Regular,2024-11-20
CUS00168,Iman Wibowo,Female,55+,Binjai,REG001,Loyal,2021-02-27
CUS00169,Lestari Utama,Male,35-44,Jakarta Barat,REG002,Regular,2020-04-18
CUS00170,Siti Santoso,Female,35-44,Blitar,REG005,Regular,2022-03-26
CUS00171,Kartini Utama,Female,18-24,Yogyakarta,REG004,Loyal,2020-09-17
CUS00172,Rizky Santoso,Female,18-24,Blitar,REG005,Loyal,2020-02-28
CUS00173,Dewi Wibowo,Female,35-44,Malang,REG005,New,2020-07-11
CUS00174,Vina Saputra,Female,25-34,Jakarta Utara,REG002,New,2022-11-22
CUS00175,Tono Suharto,Male,55+,Depok,REG003,Loyal,2024-07-23
CUS00176,Rizky Rahayu,Male,35-44,Denpasar,REG008,New,2022-07-25
CUS00177,Fitri Prasetyo,Male,45-54,Depok,REG003,Regular,2020-03-29
CUS00178,Nadia Kusuma,Male,35-44,Malang,REG005,Loyal,2021-05-30
CUS00179,Rizky Wijaya,Female,35-44,Solo,REG004,Loyal,2020-12-25
CUS00180,Putri Nugroho,Male,18-24,Denpasar,REG008,New,2020-12-28
CUS00181,Udin Utama,Male,45-54,Kediri,REG005,New,2024-10-30
CUS00182,Made Saputra,Male,18-24,Semarang,REG004,New,2022-05-14
CUS00183,Lestari Purnama,Male,35-44,Salatiga,REG004,Regular,2024-06-03
CUS00184,Wahyu Suharto,Female,45-54,Jakarta Utara,REG002,Regular,2023-02-18
CUS00185,Budi Purnama,Female,55+,Denpasar,REG008,New,2023-07-10
CUS00186,Wahyu Setiawan,Female,35-44,Badung,REG008,Loyal,2021-01-22
CUS00187,Joko Hidayat,Female,45-54,Jakarta Timur,REG002,New,2022-03-05
CUS00188,Omar Saputra,Female,35-44,Pasuruan,REG005,New,2020-09-20
CUS00189,Omar Susanto,Female,55+,Makassar,REG007,New,2024-04-05
CUS00190,Fitri Rahayu,Female,45-54,Magelang,REG004,Loyal,2022-11-04
CUS00191,Putri Purnama,Male,35-44,Jakarta Barat,REG002,Loyal,2020-02-26
CUS00192,Eko Suharto,Male,55+,Semarang,REG004,Regular,2022-02-05
CUS00193,Kartini Setiawan,Male,55+,Yogyakarta,REG004,Loyal,2023-05-16
CUS00194,Made Purnama,Female,45-54,Makassar,REG007,Loyal,2021-05-14
CUS00195,Made Handoko,Male,25-34,Pematangsiantar,REG001,Regular,2020-05-12
CUS00196,Nadia Nugroho,Male,35-44,Jakarta Pusat,REG002,New,2023-08-19
CUS00197,Fitri Saputra,Male,18-24,Solo,REG004,New,2024-08-23
CUS00198,Kartini Suharto,Male,55+,Bontang,REG006,Loyal,2020-05-09
CUS00199,Gunawan Suharto,Male,45-54,Jakarta Selatan,REG002,Loyal,2022-04-26
CUS00200,Gunawan Utama,Male,25-34,Salatiga,REG004,Loyal,2024-12-31
CUS00201,Lestari Handoko,Male,45-54,Jakarta Utara,REG002,New,2023-02-25
CUS00202,Budi Santoso,Male,45-54,Palopo,REG007,New,2023-07-10
CUS00203,Udin Saputra,Female,35-44,Jakarta Pusat,REG002,Loyal,2022-04-16
CUS00204,Lestari Susanto,Female,35-44,Makassar,REG007,Loyal,2022-10-29
CUS00205,Iman Setiawan,Female,45-54,Tabanan,REG008,New,2021-11-16
CUS00206,Eko Susanto,Female,55+,Gowa,REG007,Regular,2020-01-06
CUS00207,Eko Hidayat,Male,18-24,Salatiga,REG004,Loyal,2021-04-11
CUS00208,Joko Suharto,Male,18-24,Cimahi,REG003,Regular,2024-05-06
CUS00209,Gunawan Purnama,Male,18-24,Yogyakarta,REG004,Regular,2024-09-24
CUS00210,Lestari Setiawan,Male,35-44,Medan,REG001,New,2021-01-01
CUS00211,Made Handoko,Female,45-54,Denpasar,REG008,Loyal,2020-04-07
CUS00212,Iman Suharto,Male,18-24,Kediri,REG005,Loyal,2021-01-19
CUS00213,Putri Susanto,Male,45-54,Gowa,REG007,Regular,2021-03-10
CUS00214,Putri Prasetyo,Female,45-54,Kutai Kartanegara,REG006,New,2020-07-21
CUS00215,Budi Susanto,Male,35-44,Depok,REG003,Regular,2020-09-27
CUS00216,Gunawan Hartono,Female,18-24,Jakarta Utara,REG002,New,2024-07-25
CUS00217,Wahyu Hidayat,Female,35-44,Balikpapan,REG006,Loyal,2020-11-20
CUS00218,Tono Hidayat,Female,35-44,Makassar,REG007,Regular,2023-05-02
CUS00219,Rizky Wijaya,Female,35-44,Bogor,REG003,New,2024-03-22
CUS00220,Vina Kusuma,Male,35-44,Malang,REG005,New,2024-02-11
CUS00221,Sari Setiawan,Female,18-24,Bekasi,REG003,New,2023-05-18
CUS00222,Dewi Setiawan,Female,35-44,Gianyar,REG008,Regular,2021-02-05
CUS00223,Dewi Utama,Female,35-44,Balikpapan,REG006,Regular,2021-02-12
CUS00224,Siti Nugroho,Male,45-54,Yogyakarta,REG004,Loyal,2020-07-10
CUS00225,Dewi Wijaya,Male,35-44,Balikpapan,REG006,New,2021-04-25
CUS00226,Lestari Rahayu,Male,18-24,Makassar,REG007,Loyal,2020-09-18
CUS00227,Joko Prasetyo,Female,55+,Cimahi,REG003,Regular,2021-03-27
CUS00228,Fitri Nugroho,Male,18-24,Bekasi,REG003,Regular,2023-11-20
CUS00229,Hana Santoso,Male,45-54,Jakarta Utara,REG002,Loyal,2024-02-22
CUS00230,Nadia Nugroho,Male,25-34,Semarang,REG004,Loyal,2021-12-02
CUS00231,Nadia Setiawan,Female,55+,Magelang,REG004,New,2020-06-06
CUS00232,Vina Suharto,Male,55+,Jakarta Barat,REG002,Regular,2024-12-14
CUS00233,Kartini Hartono,Female,45-54,Solo,REG004,Loyal,2020-09-12
CUS00234,Hana Rahayu,Male,45-54,Palopo,REG007,New,2021-11-17
CUS00235,Made Utama,Female,18-24,Jakarta Selatan,REG002,New,2020-07-05
CUS00236,Nadia Hidayat,Female,25-34,Parepare,REG007,New,2024-08-21
CUS00237,Made Prasetyo,Female,55+,Palopo,REG007,Regular,2022-07-08
CUS00238,Kartini Susanto,Male,18-24,Balikpapan,REG006,Loyal,2024-10-18
CUS00239,Vina Rahayu,Male,35-44,Parepare,REG007,Regular,2023-03-20
CUS00240,Dewi Nugroho,Female,35-44,Binjai,REG001,New,2022-07-26
CUS00241,Joko Santoso,Male,35-44,Gowa,REG007,New,2023-02-16
CUS00242,Joko Wijaya,Male,35-44,Surabaya,REG005,Loyal,2024-02-04
CUS00243,Fitri Hidayat,Female,55+,Semarang,REG004,Regular,2024-03-10
CUS00244,Gunawan Hartono,Male,18-24,Binjai,REG001,New,2024-03-28
CUS00245,Ahmad Hidayat,Female,35-44,Jakarta Selatan,REG002,Loyal,2022-03-02
CUS00246,Hana Wibowo,Female,45-54,Jakarta Pusat,REG002,Regular,2024-08-01
CUS00247,Rizky Rahayu,Male,45-54,Balikpapan,REG006,Loyal,2024-07-27
CUS00248,Vina Purnama,Female,55+,Tebing Tinggi,REG001,Regular,2023-06-03
CUS00249,Fitri Susanto,Male,18-24,Yogyakarta,REG004,New,2021-02-19
CUS00250,Ahmad Hidayat,Female,18-24,Yogyakarta,REG004,New,2023-05-16
CUS00251,Zahra Saputra,Male,35-44,Semarang,REG004,Regular,2022-03-16
CUS00252,Hana Susanto,Male,45-54,Cimahi,REG003,New,2020-09-21
CUS00253,Udin Saputra,Female,25-34,Pematangsiantar,REG001,Loyal,2020-10-24
CUS00254,Zahra Wijaya,Male,45-54,Balikpapan,REG006,New,2021-02-25
CUS00255,Tono Prasetyo,Male,55+,Jakarta Utara,REG002,New,2023-09-09
CUS00256,Tono Handoko,Male,18-24,Balikpapan,REG006,New,2022-09-08
CUS00257,Made Wibowo,Male,35-44,Balikpapan,REG006,Loyal,2023-02-18
CUS00258,Kartini Purnama,Female,25-34,Bontang,REG006,Regular,2023-10-17
CUS00259,Iman Susanto,Male,45-54,Malang,REG005,New,2020-01-23
CUS00260,Yuni Utama,Female,35-44,Makassar,REG007,New,2021-01-16
CUS00261,Siti Nugroho,Female,18-24,Pematangsiantar,REG001,New,2020-04-16
CUS00262,Udin Nugroho,Female,18-24,Salatiga,REG004,Regular,2023-06-23
CUS00263,Yuni Susanto,Male,45-54,Jakarta Selatan,REG002,Regular,2021-05-28
CUS00264,Nadia Utama,Female,45-54,Pematangsiantar,REG001,New,2022-07-11
CUS00265,Siti Purnama,Male,55+,Palopo,REG007,Loyal,2023-06-02
CUS00266,Gunawan Hidayat,Female,55+,Medan,REG001,Loyal,2023-11-25
CUS00267,Fitri Wijaya,Female,25-34,Yogyakarta,REG004,New,2020-05-17
CUS00268,Putri Saputra,Female,18-24,Balikpapan,REG006,New,2024-04-25
CUS00269,Siti Santoso,Female,45-54,Denpasar,REG008,Regular,2024-03-04
CUS00270,Udin Handoko,Female,55+,Bekasi,REG003,Regular,2023-03-08
CUS00271,Lestari Rahayu,Male,55+,Pasuruan,REG005,Regular,2023-01-21
CUS00272,Ahmad Kusuma,Male,35-44,Samarinda,REG006,New,2021-12-19
CUS00273,Eko Wijaya,Male,55+,Badung,REG008,Loyal,2021-01-13
CUS00274,Xenia Handoko,Male,25-34,Palopo,REG007,Regular,2021-03-11
CUS00275,Joko Handoko,Female,18-24,Cimahi,REG003,Regular,2020-10-05
CUS00276,Kartini Susanto,Female,18-24,Palopo,REG007,Loyal,2020-08-12
CUS00277,Wahyu Hidayat,Male,25-34,Jakarta Barat,REG002,Regular,2020-06-16
CUS00278,Zahra Prasetyo,Female,25-34,Jakarta Selatan,REG002,Regular,2024-01-05
CUS00279,Fitri Utama,Male,35-44,Depok,REG003,Loyal,2023-04-14
CUS00280,Iman Setiawan,Female,45-54,Badung,REG008,New,2020-10-03
CUS00281,Eko Susanto,Male,25-34,Salatiga,REG004,Regular,2020-09-11
CUS00282,Kartini Rahayu,Male,55+,Samarinda,REG006,New,2020-08-09
CUS00283,Vina Setiawan,Male,18-24,Binjai,REG001,Loyal,2024-10-10
CUS00284,Vina Rahayu,Male,55+,Palopo,REG007,Loyal,2024-02-22
CUS00285,Lestari Suharto,Female,35-44,Jakarta Timur,REG002,Regular,2023-12-15
CUS00286,Sari Wijaya,Male,55+,Balikpapan,REG006,Loyal,2024-07-28
CUS00287,Xenia Hidayat,Female,25-34,Gowa,REG007,New,2024-12-07
CUS00288,Siti Hartono,Female,35-44,Semarang,REG004,Loyal,2023-11-09
CUS00289,Udin Saputra,Male,45-54,Pasuruan,REG005,New,2022-03-20
CUS00290,Siti Prasetyo,Female,18-24,Gianyar,REG008,Regular,2023-07-05
CUS00291,Kartini Hartono,Male,25-34,Badung,REG008,Loyal,2022-03-11
CUS00292,Putri Susanto,Female,25-34,Makassar,REG007,Regular,2021-04-20
CUS00293,Budi Kusuma,Male,25-34,Denpasar,REG008,New,2020-03-06
CUS00294,Iman Nugroho,Male,18-24,Gowa,REG007,New,2024-09-13
CUS00295,Joko Kusuma,Female,45-54,Parepare,REG007,New,2020-09-10
CUS00296,Ahmad Handoko,Male,55+,Samarinda,REG006,New,2023-04-30
CUS00297,Omar Suharto,Male,35-44,Jakarta Selatan,REG002,Loyal,2022-10-09
CUS00298,Udin Prasetyo,Male,25-34,Jakarta Pusat,REG002,Regular,2024-01-14
CUS00299,Vina Wijaya,Female,35-44,Blitar,REG005,Loyal,2021-02-03
CUS00300,Eko Saputra,Male,35-44,Pasuruan,REG005,Loyal,2021-01-13
CUS00301,Xenia Kusuma,Female,55+,Denpasar,REG008,New,2024-04-06
CUS00302,Sari Nugroho,Female,25-34,Kediri,REG005,Regular,2021-04-13
CUS00303,Rizky Susanto,Female,55+,Kediri,REG005,New,2021-05-15
CUS00304,Gunawan Purnama,Male,45-54,Bekasi,REG003,Loyal,2024-03-01
CUS00305,Omar Rahayu,Female,35-44,Cimahi,REG003,Regular,2020-03-15
CUS00306,Putri Hidayat,Female,35-44,Tabanan,REG008,Regular,2023-07-16
CUS00307,Zahra Saputra,Female,55+,Tabanan,REG008,Regular,2020-02-29
CUS00308,Zahra Nugroho,Female,45-54,Balikpapan,REG006,New,2020-02-04
CUS00309,Eko Wijaya,Female,25-34,Semarang,REG004,New,2024-08-07
CUS00310,Kartini Suharto,Male,25-34,Pasuruan,REG005,Loyal,2022-04-15
CUS00311,Udin Purnama,Female,25-34,Tabanan,REG008,Loyal,2023-12-08
CUS00312,Udin Purnama,Male,18-24,Yogyakarta,REG004,Loyal,2020-08-03
CUS00313,Lestari Wibowo,Female,25-34,Denpasar,REG008,New,2024-02-23
CUS00314,Made Suharto,Female,18-24,Denpasar,REG008,Loyal,2023-04-09
CUS00315,Nadia Purnama,Male,18-24,Palopo,REG007,Regular,2020-06-26
CUS00316,Yuni Nugroho,Male,35-44,Pasuruan,REG005,Regular,2021-07-15
CUS00317,Made Setiawan,Male,25-34,Jakarta Selatan,REG002,Loyal,2024-05-29
CUS00318,Vina Saputra,Male,18-24,Balikpapan,REG006,Loyal,2024-10-23
CUS00319,Wahyu Prasetyo,Female,18-24,Makassar,REG007,Regular,2022-01-19
CUS00320,Yuni Wibowo,Male,35-44,Jakarta Selatan,REG002,Loyal,2022-12-04
CUS00321,Ahmad Hidayat,Male,35-44,Jakarta Pusat,REG002,New,2024-09-05
CUS00322,Made Hidayat,Female,45-54,Tabanan,REG008,Loyal,2024-12-22
CUS00323,Ahmad Wijaya,Female,45-54,Gianyar,REG008,Regular,2020-12-21
CUS00324,Fitri Susanto,Male,45-54,Depok,REG003,Loyal,2024-02-17
CUS00325,Rizky Hidayat,Male,25-34,Makassar,REG007,Loyal,2021-09-25
CUS00326,Nadia Santoso,Male,45-54,Binjai,REG001,Regular,2024-04-30
